SetID,Number,Variant,Theme,SubTheme,Year,SetName,Minifigs,Pieces,UKPrice,USPrice,CAPrice,Image,ImageFilename,InstructionsAvailable,EAN,UPC
22795,"850776","1","Legends of Chima","","2013","Legends of Chima Playmat",,26,11.99,16.99,19.99,"True","850776-1","False","",""
22806,"850777","1","Legends Of Chima","","2013","Legends of Chima Accessory Set",,,7.99,12.99,15.99,"True","850777-1","False","",""
22805,"850779","1","Legends Of Chima","","2013","Legends of Chima Minifigure Accessory Set",4,42,10.49,14.99,17.99,"True","850779-1","False","",""
22791,"850781","1","Gear","Bags","2013","Friends Carry Case House",,,7.99,12.99,15.99,"True","850781-1","False","",""
22799,"850789","1","Gear","Miscellaneous","2013","Friends Horse Bag Charm",,,2.99,4.99,5.49,"True","850789-1","False","",""
22800,"850791","1","Seasonal","Birthday","2013","LEGO Minifigure Birthday Set",2,28,6.99,9.99,11.99,"True","850791-1","False","",""
22801,"850794","1","Gear","Miscellaneous","2013","LEGO Family Window Decals",,,5.99,7.99,9.99,"True","850794-1","False","",""
22798,"850797","1","Gear","Stationery","2013","LEGO Classic Wall Stickers",,,11.99,16.99,19.99,"True","850797-1","False","",""
22796,"850798","1","Gear","Miscellaneous","2013","LEGO Classic Name Sign",,,7.99,12.99,15.99,"True","850798-1","False","",""
22788,"850800","1","Gear","Miscellaneous","2013","Hedgehog Bag Charm",,,2.99,4.99,5.49,"True","850800-1","False","",""
22797,"850807","1","Gear","Key Chains/Miscellaneous","2013","Gold Minifigure Key Chain",,,2.99,4.99,5.49,"True","850807-1","False","",""
22802,"850808","1","Gear","Key Chains/Brick","2013","Gold 2 x 4 Stud Key Chain",,,2.99,4.99,5.49,"True","850808-1","False","",""
23020,"850813","1","Gear","Key Chains/Super Heroes","2013","DC Universe Super Heroes Superman Key Chain",,,2.99,4.99,5.49,"True","850813-1","False","",""
22803,"850814","1","Gear","Key Chains/Super Heroes","2013","Marvel Super Heroes The Hulk Key Chain ",,,2.99,4.99,5.49,"True","850814-1","False","",""
22804,"850815","1","Gear","Key Chains/Super Heroes","2013","DC Universe Super Heroes Arctic Batman Key Chain",,,2.99,4.99,5.49,"True","850815-1","False","",""
22760,"850838","1","Gear","Key Chains/Teenage Mutant Ninja Turtles ","2013","Splinter key chain",,,,4.99,5.49,"True","850838-1","False","",""
22996,"850839","1","Pirates","","2013","Classic Pirate Set",4,39,10.49,14.99,17.99,"True","850839-1","False","","673419201612"
23018,"850840","1","Gear","Seasonal","2013","Classic Gift Bag",,,,2.99,3.49,"True","850840-1","False","",""
23029,"850841","1","Gear","Seasonal","2013","Classic Gift Wrap",,,1.99,3.99,4.99,"True","850841-1","False","",""
23008,"850842","1","Seasonal","Christmas","2013","LEGO City Fire Truck Holiday Bauble",,34,,7.99,9.99,"True","850842-1","False","",""
23009,"850843","1","Seasonal","Christmas","2013","LEGO Creator T-Rex Holiday Bauble",,25,,7.99,9.99,"True","850843-1","False","",""
23010,"850849","1","Seasonal","Christmas","2013","LEGO Friends Doghouse Holiday Bauble",,29,,7.99,9.99,"True","850849-1","False","",""
23007,"850850","1","Seasonal","Christmas","2013","LEGO Santa Holiday Bauble",,23,6.99,7.99,9.99,"True","850850-1","False","",""
23005,"850851","1","Seasonal","Christmas","2013","LEGO Tree Holiday Bauble",,26,6.99,7.99,9.99,"True","850851-1","False","",""
23006,"850852","1","Seasonal","Christmas","2013","LEGO Reindeer Holiday Bauble",,21,6.99,7.99,9.99,"True","850852-1","False","",""
4314,"851009","1","Gear","Magnets/Bricks","2004","Classic Magnets Medium",,,5.99,,,"True","851009-1","False","",""
4315,"851010","1","Gear","Magnets/Bricks","2004","Bricks with Magnets",,,6.99,14.99,,"True","851010-1","False","",""
5092,"851014","1","Gear","Magnets/Bricks","2004","Magnets",,,,,,"True","851014-1","False","",""
4788,"851036","1","Gear","Key Chains/Castle","2005","Ghost Key Chain",,,,,,"True","851036-1","False","",""
22650,"851037","1","Gear","Key Chains/World City","2004","Train Worker",,,,,,"True","851037-1","False","",""
9484,"851039","1","Gear","Key Chains/World City","2004","Chef Key Chain",,,,,,"True","851039-1","False","",""
4316,"851056","1","Gear","Stationery","2004","Bionicle Carry Case",,,,,,"True","851056-1","False","",""
4827,"851091","1","Gear","Key Chains/Star Wars","2005","R2-D2 Key Chain",,,2.99,4.99,5.49,"True","851091-1","False","",""
6719,"851197","1","Gear","Stationery","2007","Classic Calculator",,,3.89,,,"True","851197-1","False","",""
4823,"851210","1","Gear","Role-play toys","2005","Lord Vladek Sword",,,,,,"True","851210-1","False","",""
4824,"851211","1","Gear","Role-play toys","2005","Lord Jayko Sword",,,,,,"True","851211-1","False","",""
4825,"851212","1","Gear","Role-play toys","2005","Lord Jayko Shield",,,,,,"True","851212-1","False","",""
4826,"851213","1","Gear","Role-play toys","2005","Lord Vladek Shield",,,,,,"True","851213-1","False","",""
5955,"851462","1","Gear","Key Chains/Star Wars","2007","Anakin Key Chain",,,2.99,3.99,,"True","851462-1","False","",""
6129,"851463","1","Gear","Key Chains/Star Wars","2007","Clone Trooper Key Chain",,,2.95,3.99,,"True","851463-1","False","",""
5956,"851464","1","Gear","Key Chains/Star Wars","2007","Chewbacca Key Chain",,,2.99,4.99,5.49,"True","851464-1","False","",""
5898,"851501","1","Gear","Housewares","2007","Egg Timer",,,4.89,7.99,,"True","851501-1","False","",""
6708,"851502","1","Gear","Housewares","2007","Ice Brick Tray - Yellow",,,3.89,7.99,,"True","851502-1","False","",""
6036,"851524","1","Gear","Housewares","2007","Egg Cup Set",,,4.89,,,"True","851524-1","False","",""
6740,"851537","1","Gear","Key Chains/City","2007","Firefighter Keychain",,,2.95,,,"True","851537-1","False","",""
